Label,Phase,TitleLv,TitleEn,DescriptionLv,DescriptionEn,Suggests,Notes
MakingItHarder,Reformulate,Vispārini uzdevumu,Generalize,"Situācijas vispārināšana, vispārīgāka uzdevuma risināšana","Generalising the situation; solving a more general problem (which may in fact be easier to attack — the ""inventor’s paradox"").",,"Polya: generalization; ""inventor’s paradox""."
WishfulThinking,Reformulate,Vēlmju domāšana,Wishful Thinking,"Papildu pieņēmumi, kas aizstāj pierādāmo apgalvojumu ar būtiski citu, ieskaitot sekas, kas iestātos, ja uzdevums jau būtu atrisināts","Extra assumptions that replace the required claim with an essentially different one, incl. exploring the consequences that would hold if the problem were already solved.",,"Zeitz: ""wishful thinking""."
AuxiliaryElements,Engage,Palīgelementi,Auxiliary Elements,"Palīgelementa ieviešana - papildu konstrukcija ģeometrijā, jauns apzīmējums apakšizteiksmei algebrā u.c.","Introducing an auxiliary element — an extra construction in geometry, a new notation for a subexpression in algebra, etc.",MTH_Augmentation; MTH_Substitution,"Polya: ""auxiliary elements""."
CaseAnalysis,Engage,Gadījumu pārlase,Case Analysis,Gadījumu vai apakšgadījumu pārlase,Enumerating the possible cases or subcases.,MTH_ExhaustiveAlgorithms,
Continuity,Engage,Nepārtrauktība un robežpāreja,Continuity and Limits,"Robežpāreja tiecoties uz bezgalību vai citu lielumu, nepārtrauktības apsvērumi, spriedumi par ļoti mazām izmaiņām.","Passing to a limit (towards infinity or another value), continuity considerations, reasoning about very small changes.",UsingContinuity; UsingSmallPerturbations,Pārsaukts (2026): bij. Continuitity (drukas kļūda).
DoubleCounting,Engage,Divkāršā skaitīšana,Double Counting,Saskaitīšana divos atšķirīgos veidos,Counting the same thing in two different ways.,MTH_DoubleCounting,
Symmetry,Engage,Simetrija,Symmetry,"Sākotnējās situācijas simetrijas izmantošana vai pārveidojums, kas palielina simetriju.","Using the symmetry of the original situation, or a transformation that increases the symmetry.",MTH_SymmetryWLOG,"Zeitz, 3. nodaļa."
WorkingBackwards,Engage,No beigām,Work Backwards,Procesa analīze no beigām; pēdējais un priekšpēdējais solis (penultimate step) atrisinājumā vai pierādījumā,Analysing the process from the end; the last and the second-to-last (penultimate) step of the solution or proof.,,"Polya: working backwards; Zeitz: ""the penultimate step""."
ParityAndRemainders,Engage,Paritāte un atlikumi,Parity and Remainders,Pārbaudi paritāti vai atlikumus pēc kāda moduļa — vai abas puses / visi sasniedzamie stāvokļi tos dod vienādus?,Check parity or remainders modulo some number — do both sides / all reachable states give the same ones?,ModularParity; SelectingModule,Jauna rinda (2026).
LookForInvariant,Engage,Kas nemainās?,What Stays the Same?,Procesā ar soļiem pajautā: kāds lielums pēc katra gājiena nemainās (vai mainās prognozējami vienā virzienā)?,"In a step-by-step process, ask: what quantity is unchanged after every move (or changes predictably in one direction)?",MTH_InvariantMethod,Jauna rinda (2026). Engel: invariance principle.
ExtremalElement,Engage,Ekstremālais elements,The Extremal Element,"Aplūko vislielāko, vismazāko, tuvāko vai tālāko objektu — ko par to var pateikt?","Consider the largest, smallest, nearest or farthest object — what can be said about it?",MTH_ExtremePrinciple,Jauna rinda (2026). Engel/Zeitz: extreme principle.
Pigeonhole,Engage,Vairāk objektu nekā vietu,More Objects than Boxes,Vai objektu ir vairāk nekā iespējamo kategoriju? Tad divi no tiem nonāks vienā kategorijā.,Are there more objects than possible categories? Then two of them must share a category.,MTH_MeanValuePrinciple,Jauna rinda (2026).
AssumeContrary,Engage,Pieņem pretējo,Assume the Contrary,"Pieņem, ka prasītais nav spēkā, un skaties, kādas sekas no tā izriet.","Assume the required statement fails, and see what consequences follow.",MTH_ContradictionMethod,Jauna rinda (2026).
ReduceToSmaller,Engage,Reducē uz mazāku,Reduce to a Smaller Case,Vai lielo gadījumu var reducēt uz mazāku tā paša uzdevuma gadījumu? Vai no $n-1$ vari tikt pie $n$?,Can the large case be reduced to a smaller instance of the same problem? Can you get from $n-1$ to $n$?,MTH_MathematicalInduction; MTH_DivideAndConquerAlgorithms,Jauna rinda (2026).
SplitIntoSubgoals,Engage,Sadali starpmērķos,Split into Subgoals,Sadali uzdevumu daļās vai starpmērķos (lemmās); atrisini daļas atsevišķi un savieno.,Decompose the problem into parts or intermediate goals (lemmas); solve the parts separately and recombine.,,"Jauna rinda (2026). Polya: ""decomposing and recombining""."
ExampleAndBound,Engage,Piemērs un novērtējums,Example and Bound,"""Lielākās/mazākās vērtības"" uzdevumos atbildi apstiprina divas daļas: piemērs, kas vērtību sasniedz, un novērtējums, ka labāk nevar.","In ""largest/smallest value"" problems the answer needs two parts: an example attaining the value, and a bound showing that one cannot do better.",,Jauna rinda (2026). Sasaucas ar questionType FindOptimal tipa uzdevumiem.
TryColoring,Engage,Izmēģini krāsojumu,Try a Colouring,Izkrāso rūtiņas vai objektus dažās krāsās (kā šaha galdiņu) un saskaiti katru krāsu atsevišķi.,Colour the cells or objects in a few colours (like a chessboard) and count each colour separately.,MTH_AuxiliaryColoring,Jauna rinda (2026).
TryOrdering,Engage,Sakārto elementus,Order the Elements,"Sakārto objektus (piemēram, augošā secībā) vai pieņem $a \le b \le c$, ""nezaudējot vispārīgumu"".","Order the objects (e.g. increasingly) or assume $a \le b \le c$ ""without loss of generality"".",MTH_SymmetryWLOG; MTH_OrderingElements,Jauna rinda (2026).
LookBack,Review,Atskaties,Look Back,"Kad atrisināts: pārbaudi rezultātu (speciālgadījumos, ar citu metodi); pajautā, ko šī pieeja dod citos uzdevumos.","Once solved: check the result (on special cases, by another method); ask what this approach gives in other problems.",,"Jauna rinda (2026). Polya 4. fāze (""Looking back"")."
